2023-12-21 20:15:19 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.101.97 says 10.156.96.3 / Padding | Size: 60 bytes
2023-12-21 20:15:19 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.100.4 says 10.156.96.3 / Padding | Size: 60 bytes
2023-12-21 20:15:19 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.184 says 10.156.96.3 / Padding | Size: 60 bytes
2023-12-21 20:15:19 | Action: allowed | Packet Summary: Ether / ARP who has 169.254.255.255 says 10.156.114.33 / Padding | Size: 60 bytes
2023-12-21 20:15:19 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.140 says 10.156.98.118 / Padding | Size: 512 bytes
2023-12-21 20:15:19 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.98.229 says 10.156.97.89 / Padding | Size: 60 bytes
2023-12-21 20:15:19 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.52 says 10.156.98.228 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.119.255 says 10.156.119.75 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.103 says 10.156.121.209 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.185 says 10.156.96.185 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.98.118 says 10.156.98.118 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.111.149 says 10.156.96.3 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.97.64 says 10.156.97.64 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / 10.156.99.99 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.99.3 says 10.156.96.2 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.96.103 says 10.156.121.209 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.100.4 says 10.156.96.3 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 169.254.255.255 says 10.156.114.33 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / 10.156.96.157 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / ARP who has 10.156.98.229 says 10.156.97.89 / Padding | Size: 60 bytes
2023-12-21 20:15:20 | Action: allowed | Packet Summary: Ether / 10.156.97.92 > 224.0.0.22 2 / Raw / Padding | Size: 60 bytes
